epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro
Seca,2022,Seca 2022,E18,SC-22-0175,29.79,20.44,9.66,2.595893992026295,2.4179460924945633,,0.2925507115339653,0.2724964316658776,0.11498919703023402,0.11269748010996664,0.10908678308975558,0.6783821001773821,0.14785685092821185,0.3858313886434168,0.035159370818245224,2.595893992026295,2.4979784346713214
Seca,2022,Seca 2022,E21,SC-22-0176,30.86,15.83,13.32,2.6706120809612988,2.540761623457301,,0.42488637840990995,0.4042275597753877,0.16353657491629514,0.15909700305743027,0.1522170195533648,1.144074546808441,0.2202007644069581,0.7191881683985311,0.06110376134952784,2.6706120809612988,2.6556002801885903
Seca,2022,Seca 2022,E22,SC-22-0178,30.75,16.01,14.02,2.832428370614382,2.637279191598381,,0.40982943424166296,0.38159292931938504,0.1456227903819433,0.14469189706384944,0.1348693624462693,1.4015933666052707,0.2309309275178303,0.9917639323636077,0.08623903045398086,2.832428370614382,2.829352214602543
Seca,2023,Seca 2023,E49,SC-23-0164,30.5,29.4,0.46,2.851119519069473,2.4783879115639604,,,,,,,,,,,,
Seca,2023,Seca 2023,E50,SC-23-0165,31.0,31.1,0.0,,,#VALUE!,,,,,,,,,,,
Seca,2023,Seca 2023,E51,SC-23-0166,30.8,31.3,0.0,3.3075332175688534,2.5807545622615717,,,,,,,,,,,,
Seca,2023,Seca 2023,E3,SC-23-0167,31.8,15.3,5.81,2.4868329537485803,2.225053320485982,,,,,,,,,,,,
Seca,2023,Seca 2023,E2,SC-23-0173,31.5,22.0,2.24,2.5112196896428434,2.3176017772894486,,,,,,,,,,,,
Seca,2023,Seca 2023,E1,SC-23-0177,32.2,22.6,0.11,2.387061566097104,2.2470933978708985,,,,,,,,,,,,
Seca,2023,Seca 2023,E5,SC-23-0181,31.6,21.6,61.7,,,#DIV/0!,,,,,,,,,,,
Seca,2023,Seca 2023,E4,SC-23-0186,32.2,17.6,19.56,,,#DIV/0!,,,,,,,,,,,
Seca,2023,Seca 2023,E6,SC-23-0187,32.1,11.4,7.2,2.55942327683816,2.405657100688686,,,,,,,,,,,,
Seca,2023,Seca 2023,E7,SC-23-0189,32.1,8.4,134.1,2.3388431121889575,2.1997526382867987,,,,,,,,,,,,
Seca,2023,Seca 2023,E8,SC-23-0191,33.0,9.9,15.62,1.764796498751686,1.6588847998843905,,,,,,,,,,,,
Seca,2023,Seca 2023,E9,SC-23-0194,29.9,17.0,4.02,2.3206120356464934,2.081481976196718,,,,,,,,,,,,
Seca,2023,Seca 2023,E10,SC-23-0198,32.7,20.6,1.25,1.9469910605204237,1.8586415254473008,,,,,,,,,,,,
Seca,2023,Seca 2023,E13,SC-23-0199,29.6,20.6,8.74,2.148845056487439,2.0217179275280177,,,,,,,,,,,,
