epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro,br,br443,qc_rango,qc_turbidez,qc_temp,valido,clase,clase443,clase_qc,zona,CP1,CP2,grupo2,grupo3,grupo4
Seca,2022,Seca 2022,E7,SC-22-0129,29.84,19.43,21.3,4.087568640679724,3.884920587765291,,0.6151773556949103,0.5846789092375335,0.1511634061495579,0.150499578055431,0.1395005234444903,1.6486690048014752,0.2401039413037198,1.0334916491065649,0.0896043632482887,4.087568640679724,4.191230934485973,4.087568640679724,3.884920587765291,True,True,True,True,Pico,Pico,Pico,Alta influencia,0.18944081743169783,-2.5486584174259024,2,2,2
Seca,2022,Seca 2022,E8,SC-22-0131,31.31,17.54,22.5,3.7171112075962807,3.5739944606899576,,0.6206880740287621,0.5967902531034659,0.1686307453899822,0.1669813033197191,0.1578619100775635,1.6746858384390404,0.2586806367325722,1.0539977644102785,0.091699333412853,3.7171112075962807,3.78045757086203,3.7171112075962807,3.5739944606899576,True,True,True,True,Pico,Pico,Pico,Alta influencia,-0.7367310840982396,-1.8025178858119721,2,2,2
Seca,2022,Seca 2022,E9,SC-22-0135,30.45,21.06,18.46,4.1938085926615845,3.801130886059746,,0.9610166882172064,0.8710340815251518,0.242721279841065,0.2291512993460917,0.2220482035281893,1.8406610256283995,0.3079814855276477,0.8796443374111927,0.0788301861815559,4.1938085926615845,3.922725190679477,4.1938085926615845,3.801130886059746,True,True,True,True,Pico,Pico,Pico,Alta influencia,0.20586921155146337,-2.353749865169333,2,2,2
Seca,2022,Seca 2022,E10,SC-22-0139,29.84,30.37,10.17,3.00645698380686,2.840837009190755,,0.3176788572334863,0.3001785355743145,0.107990609682387,0.1056655255486916,0.1002646317758093,0.7724402576152241,0.1472754577989226,0.4547614003817377,0.0416099322502309,3.00645698380686,2.9938626438633977,3.00645698380686,2.840837009190755,True,True,True,True,Pico,Nano,Pico,Baja influencia,0.9969705804259299,-0.9077051863638737,1,1,1
Seca,2022,Seca 2022,E14,SC-22-0141,30.61,22.25,11.35,3.1595526258826783,2.940057777232703,,0.610024959397188,0.5676463849627184,0.1977922988356418,0.1930732073901654,0.1872278284691812,1.2626325009350985,0.2520152046571485,0.6526075415379105,0.0589419972669831,3.1595526258826783,3.031848361453149,3.1595526258826783,2.940057777232703,True,True,True,True,Pico,Nano,Pico,Alta influencia,-0.02905192530009007,-1.0576382260084245,2,3,3
Seca,2022,Seca 2022,E13,SC-22-0144,29.82,26.01,10.37,2.4828342585311143,2.370660134436055,,0.5622921999754893,0.536887912596657,0.2328305720764331,0.226471903246635,0.2169184736695548,1.0733234792256088,0.2736283666536241,0.5110312792501195,0.0471564634069891,2.4828342585311143,2.4750677225146407,2.4828342585311143,2.370660134436055,True,True,True,True,Micro,Micro,Micro,Baja influencia,0.35768043291672513,-0.5249875701292984,2,3,3
Seca,2022,Seca 2022,E12,SC-22-0156,28.04,30.65,6.2,2.691115844205631,2.598686886596165,,0.2344121690236758,0.2263610580020215,0.0871591608785807,0.0871059376832103,0.0834544907262992,0.508321691189039,0.1120042825167306,0.2739095221653632,0.0248983448335203,2.691115844205631,2.712389183997354,2.691115844205631,2.598686886596165,True,True,True,True,Nano,Nano,Nano,Baja influencia,1.7533013934170798,-0.934051404355688,1,1,1
Seca,2022,Seca 2022,E24,SC-22-0161,28.39,26.26,3.68,2.537383782102953,2.3620452209913294,,0.1884803037022285,0.1754559179226202,0.0750361237436411,0.0742813542955722,0.0721937229994729,0.3845112353456891,0.0930562482770646,0.1960309316434605,0.0187748939814923,2.537383782102953,2.430348659590546,2.537383782102953,2.3620452209913294,True,True,True,True,Nano,Micro,Nano,Baja influencia,1.3281472261886695,-0.5395928501055296,1,1,1
Seca,2022,Seca 2022,E25,SC-22-0163,29.17,22.9,5.61,3.268731802411532,3.0036053303369994,,0.2518927631112023,0.2314617691778643,0.0754458548234918,0.0770613125632903,0.0737384452219453,0.7004507293038931,0.1167946727227012,0.4485579661926907,0.0397333601594109,3.268731802411532,3.1389564626862905,3.268731802411532,3.0036053303369994,True,True,True,True,Pico,Pico,Pico,Alta influencia,0.8876094192534517,-1.2719320392803222,2,3,3
Seca,2022,Seca 2022,E27,SC-22-0164,28.94,25.12,6.44,2.7543894569420857,2.5865959512052195,,0.226808539059419,0.2129916840014246,0.0862696491426269,0.0823443970451517,0.0786111559184055,0.636347599537119,0.1170840897287967,0.4095390604776999,0.0347396926836449,2.7543894569420857,2.709433305146911,2.7543894569420857,2.5865959512052195,True,True,True,True,Nano,Nano,Nano,Baja influencia,0.9051399371926518,-0.8618859642764762,1,1,1
