fecha,A01,A05,Muelle_CIOH,S1,S2,S4,S5,S6
2015-05,-0.53,-0.509,-0.537,-0.547,-0.469,-0.499,-0.448,-0.523
2015-06,-0.617,-0.624,-0.623,-0.633,-0.549,-0.577,-0.524,-0.607
2015-07,-0.501,-0.513,-0.501,-0.503,-0.486,-0.494,-0.473,-0.497
2015-08,-0.372,-0.406,-0.338,-0.357,-0.312,-0.308,-0.28,-0.35
2015-09,0.221,0.163,0.252,0.235,0.299,0.291,0.346,0.24
2015-10,0.531,0.508,0.545,0.548,0.512,0.531,0.517,0.529
2015-11,0.294,0.292,0.303,0.3,0.302,0.306,0.323,0.296
2015-12,0.81,0.791,0.817,0.818,0.806,0.816,0.849,0.809
2016-01,0.513,0.55,0.486,0.496,0.457,0.471,0.456,0.499
2016-02,0.063,0.049,0.072,0.054,0.121,0.125,0.132,0.086
2016-03,0.088,0.026,0.122,0.113,0.137,0.132,0.151,0.108
2016-04,0.174,0.131,0.219,0.198,0.154,0.206,0.118,0.196
2016-05,0.944,0.926,0.961,0.949,1.005,0.995,1.005,0.959
2016-06,0.739,0.736,0.758,0.744,0.824,0.811,0.853,0.748
2016-07,0.307,0.307,0.303,0.303,0.31,0.307,0.324,0.306
2016-08,0.572,0.582,0.563,0.556,0.655,0.607,0.69,0.579
2016-09,0.314,0.308,0.323,0.313,0.369,0.349,0.384,0.323
2016-10,0.204,0.199,0.213,0.205,0.264,0.245,0.277,0.213
2016-11,-0.053,-0.069,-0.039,-0.043,-0.038,-0.038,-0.057,-0.047
2016-12,0.388,0.415,0.372,0.386,0.336,0.335,0.338,0.373
2017-01,-0.328,-0.307,-0.338,-0.331,-0.315,-0.352,-0.305,-0.338
2017-02,0.156,0.152,0.159,0.17,0.139,0.142,0.151,0.145
2017-03,-0.022,0.013,-0.056,-0.039,-0.048,-0.075,-0.05,-0.041
2017-04,0.194,0.202,0.199,0.205,0.124,0.16,0.102,0.186
2017-05,0.476,0.507,0.47,0.474,0.449,0.456,0.434,0.469
2017-06,0.494,0.489,0.499,0.494,0.498,0.512,0.523,0.494
2017-07,0.556,0.562,0.561,0.562,0.548,0.555,0.538,0.553
2017-08,0.371,0.383,0.361,0.373,0.311,0.323,0.301,0.358
2017-09,0.55,0.566,0.537,0.551,0.493,0.504,0.47,0.538
2017-10,-0.015,0.013,-0.031,-0.017,-0.082,-0.069,-0.098,-0.03
2017-11,0.088,0.122,0.064,0.077,0.007,0.025,-0.01,0.072
2017-12,0.46,0.517,0.412,0.435,0.397,0.37,0.364,0.432
2018-01,0.604,0.577,0.608,0.634,0.361,0.476,0.321,0.573
2018-02,-0.467,-0.493,-0.494,-0.499,-0.436,-0.455,-0.418,-0.455
2018-03,-0.094,-0.107,-0.063,-0.068,-0.179,-0.096,-0.219,-0.087
2018-04,0.093,0.122,0.054,0.067,0.094,0.056,0.11,0.076
2018-05,0.222,0.253,0.207,0.209,0.218,0.208,0.216,0.218
2018-06,-0.021,0.0,-0.045,-0.039,-0.011,-0.037,-0.007,-0.028
2018-07,-0.317,-0.335,-0.314,-0.322,-0.233,-0.276,-0.216,-0.303
2018-08,-0.04,-0.018,-0.063,-0.067,0.033,-0.0,0.055,-0.038
2018-09,-0.058,-0.031,-0.076,-0.071,-0.058,-0.068,-0.051,-0.064
2018-10,-0.203,-0.208,-0.201,-0.204,-0.192,-0.196,-0.188,-0.2
2018-11,-0.056,-0.056,-0.064,-0.058,-0.061,-0.064,-0.035,-0.063
2018-12,-0.536,-0.524,-0.561,-0.562,-0.457,-0.509,-0.429,-0.536
2019-01,-0.25,-0.212,-0.278,-0.274,-0.271,-0.272,-0.283,-0.256
2019-02,-0.057,-0.064,-0.043,-0.055,-0.012,-0.02,-0.008,-0.044
2019-03,-0.308,-0.293,-0.314,-0.324,-0.298,-0.283,-0.288,-0.3
2019-04,0.02,0.006,0.019,0.031,-0.038,-0.007,-0.051,0.012
2019-05,0.171,0.158,0.179,0.178,0.166,0.175,0.159,0.174
2019-06,-0.053,-0.025,-0.076,-0.079,0.009,-0.037,0.045,-0.05
2019-07,0.04,0.046,0.038,0.025,0.194,0.121,0.247,0.052
2019-08,0.254,0.26,0.251,0.248,0.315,0.278,0.322,0.257
2019-09,0.222,0.217,0.216,0.219,0.218,0.215,0.207,0.22
2019-10,0.08,0.084,0.07,0.075,0.073,0.063,0.078,0.075
2019-11,0.317,0.345,0.301,0.301,0.315,0.294,0.366,0.31
2019-12,0.159,0.167,0.16,0.162,0.153,0.155,0.141,0.158
2020-01,0.412,0.371,0.418,0.426,0.369,0.399,0.344,0.407
2020-02,0.202,0.182,0.209,0.205,0.166,0.199,0.171,0.205
2020-03,-0.211,-0.326,-0.15,-0.191,-0.072,-0.066,-0.046,-0.155
2020-04,0.297,0.268,0.296,0.292,0.331,0.321,0.37,0.303
2020-05,0.093,0.086,0.102,0.084,0.194,0.159,0.232,0.113
2020-06,0.528,0.512,0.525,0.507,0.605,0.582,0.592,0.551
2020-07,0.175,0.199,0.161,0.174,0.12,0.127,0.095,0.161
2020-08,0.591,0.563,0.614,0.604,0.619,0.625,0.637,0.602
2020-09,0.005,0.03,-0.008,0.002,-0.042,-0.04,-0.027,-0.009
2020-10,0.391,0.39,0.389,0.402,0.286,0.335,0.266,0.376
2020-11,0.004,0.011,0.009,0.01,-0.015,-0.006,-0.037,0.004
2020-12,0.363,0.376,0.364,0.357,0.39,0.39,0.38,0.369
2021-01,0.529,0.519,0.529,0.536,0.483,0.496,0.491,0.528
2021-02,0.695,0.682,0.714,0.725,0.696,0.682,0.712,0.682
2021-03,-0.045,-0.055,-0.054,-0.045,0.017,-0.035,0.052,-0.054
2021-04,0.357,0.338,0.359,0.364,0.355,0.351,0.351,0.357
2021-05,-0.333,-0.341,-0.333,-0.342,-0.259,-0.288,-0.223,-0.321
2021-06,-0.067,-0.068,-0.061,-0.063,-0.056,-0.059,-0.049,-0.064
2021-07,0.216,0.193,0.227,0.21,0.349,0.293,0.393,0.235
2021-08,0.203,0.201,0.208,0.201,0.228,0.221,0.234,0.208
2021-09,0.047,0.054,0.044,0.049,0.014,0.028,0.015,0.042
2021-10,0.349,0.356,0.337,0.343,0.333,0.328,0.324,0.344
2021-11,0.317,0.31,0.326,0.324,0.332,0.328,0.365,0.319
2021-12,0.26,0.242,0.249,0.25,0.244,0.244,0.248,0.259
2022-01,-0.076,-0.011,-0.098,-0.109,0.016,-0.056,0.037,-0.073
2022-02,-0.005,0.019,-0.017,-0.029,0.06,0.03,0.063,0.002
2022-03,0.343,0.325,0.345,0.355,0.357,0.336,0.368,0.332
2022-04,0.454,0.494,0.428,0.442,0.417,0.407,0.395,0.436
2022-05,0.687,0.692,0.692,0.693,0.67,0.681,0.664,0.686
2022-06,0.062,0.084,0.049,0.058,0.032,0.035,0.029,0.051
2022-07,0.394,0.39,0.405,0.401,0.371,0.395,0.348,0.397
2022-08,-0.108,-0.125,-0.081,-0.092,-0.081,-0.069,-0.072,-0.096
2022-09,0.006,0.02,-0.001,0.002,-0.009,-0.01,-0.022,0.002
2022-10,-0.09,-0.065,-0.107,-0.108,-0.044,-0.08,-0.037,-0.09
2022-11,0.038,0.012,0.058,0.048,0.072,0.077,0.074,0.051
2022-12,-0.203,-0.188,-0.211,-0.219,-0.125,-0.158,-0.084,-0.196
2023-01,0.227,0.281,0.197,0.211,0.203,0.188,0.201,0.207
2023-02,0.064,0.088,0.034,0.03,0.144,0.096,0.135,0.067
2023-03,0.343,0.366,0.351,0.341,0.382,0.392,0.367,0.348
2023-04,-0.263,-0.268,-0.254,-0.263,-0.158,-0.207,-0.111,-0.255
2023-05,-0.098,-0.14,-0.083,-0.087,-0.087,-0.068,-0.078,-0.091
2023-07,0.772,0.731,0.806,0.795,0.782,0.803,0.797,0.784
2023-08,1.084,1.074,1.091,1.092,1.038,1.075,1.03,1.082
2023-09,0.819,0.769,0.852,0.827,0.937,0.911,0.974,0.847
2023-10,0.838,0.801,0.854,0.841,0.884,0.899,0.882,0.853
2023-11,0.662,0.651,0.691,0.682,0.697,0.698,0.697,0.671
2023-12,0.495,0.484,0.508,0.493,0.559,0.547,0.599,0.506
2024-01,1.026,0.99,1.054,1.059,0.963,1.02,0.964,1.019
2024-02,1.025,1.005,1.051,1.053,0.94,1.015,0.892,1.025
2024-03,1.601,1.6,1.586,1.594,1.612,1.603,1.62,1.59
2024-04,0.932,0.876,0.958,0.949,0.907,0.961,0.908,0.943
2024-05,1.245,1.258,1.23,1.236,1.218,1.218,1.22,1.235
2024-06,0.795,0.767,0.825,0.828,0.732,0.785,0.715,0.794
2024-07,1.249,1.25,1.252,1.245,1.285,1.274,1.298,1.255
2024-08,1.168,1.162,1.169,1.166,1.155,1.175,1.148,1.168
2024-09,0.759,0.776,0.747,0.752,0.75,0.739,0.739,0.754
