fecha,A01,A05,Muelle_CIOH,S1,S2,S4,S5,S6
2020-09,0.012,0.076,-0.02,0.006,-0.1,-0.097,-0.064,-0.023
2020-10,1.089,1.111,1.071,1.116,0.772,0.901,0.71,1.04
2020-11,0.011,0.031,0.024,0.027,-0.042,-0.016,-0.1,0.011
2020-12,0.817,0.848,0.818,0.803,0.873,0.875,0.834,0.833
2021-01,1.263,1.253,1.256,1.254,1.27,1.234,1.284,1.281
2021-02,1.819,1.792,1.84,1.854,1.888,1.799,1.943,1.797
2021-03,-0.079,-0.096,-0.093,-0.076,0.031,-0.063,0.096,-0.095
2021-04,0.812,0.78,0.811,0.819,0.843,0.808,0.834,0.815
2021-05,-0.576,-0.589,-0.576,-0.593,-0.44,-0.492,-0.379,-0.554
2021-06,-0.141,-0.147,-0.125,-0.132,-0.111,-0.117,-0.095,-0.134
2021-07,0.408,0.368,0.422,0.394,0.627,0.533,0.689,0.44
2021-08,0.376,0.376,0.382,0.371,0.413,0.402,0.418,0.385
2021-09,0.118,0.136,0.109,0.123,0.033,0.067,0.035,0.103
2021-10,0.973,1.014,0.929,0.953,0.899,0.881,0.866,0.95
2021-11,0.908,0.909,0.911,0.916,0.921,0.901,0.989,0.903
2021-12,0.585,0.545,0.56,0.563,0.545,0.549,0.544,0.584
2022-01,-0.181,-0.026,-0.233,-0.256,0.043,-0.14,0.097,-0.177
2022-02,-0.012,0.049,-0.044,-0.074,0.164,0.079,0.172,0.006
2022-03,0.598,0.571,0.595,0.606,0.659,0.601,0.687,0.586
2022-04,1.033,1.141,0.966,0.995,0.991,0.935,0.94,0.994
2022-05,1.19,1.195,1.196,1.201,1.139,1.163,1.127,1.184
2022-06,0.13,0.18,0.1,0.121,0.064,0.07,0.056,0.106
2022-07,0.742,0.743,0.754,0.753,0.664,0.72,0.609,0.743
2022-08,-0.2,-0.233,-0.148,-0.171,-0.147,-0.126,-0.129,-0.177
2022-09,0.015,0.052,-0.004,0.006,-0.02,-0.025,-0.051,0.005
2022-10,-0.25,-0.186,-0.296,-0.3,-0.12,-0.214,-0.099,-0.248
2022-11,0.109,0.036,0.163,0.136,0.2,0.212,0.202,0.144
2022-12,-0.457,-0.425,-0.474,-0.492,-0.28,-0.356,-0.184,-0.443
2023-01,0.542,0.679,0.468,0.493,0.533,0.468,0.525,0.502
2023-02,0.168,0.232,0.087,0.077,0.392,0.253,0.369,0.176
2023-03,0.599,0.643,0.605,0.582,0.705,0.701,0.687,0.615
2023-04,-0.597,-0.619,-0.573,-0.593,-0.376,-0.475,-0.263,-0.581
2023-05,-0.169,-0.242,-0.144,-0.151,-0.148,-0.116,-0.133,-0.157
2023-07,1.454,1.394,1.5,1.491,1.402,1.462,1.398,1.465
2023-08,2.012,2.012,2.01,2.022,1.884,1.951,1.838,1.998
2023-09,2.054,1.957,2.115,2.072,2.225,2.199,2.264,2.102
2023-10,2.335,2.28,2.352,2.334,2.389,2.417,2.356,2.356
2023-11,1.898,1.909,1.932,1.928,1.933,1.917,1.891,1.9
2023-12,1.116,1.091,1.141,1.109,1.25,1.228,1.315,1.143
2024-01,2.45,2.392,2.501,2.479,2.529,2.536,2.52,2.473
2024-02,2.683,2.642,2.708,2.695,2.551,2.68,2.432,2.703
2024-03,2.794,2.814,2.735,2.721,2.979,2.866,3.03,2.81
2024-04,2.12,2.023,2.164,2.137,2.153,2.211,2.158,2.151
2024-05,2.154,2.173,2.126,2.142,2.07,2.081,2.071,2.133
2024-06,1.672,1.653,1.697,1.722,1.456,1.569,1.399,1.647
2024-07,2.351,2.384,2.332,2.334,2.305,2.32,2.275,2.344
2024-08,2.167,2.178,2.153,2.158,2.097,2.133,2.049,2.158
2024-09,1.905,1.974,1.856,1.886,1.782,1.783,1.719,1.871
